"gene_id","gene_symbol","term_id","term_name","domain"
"YDR144C","MKC7","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR379W","RGA2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR389W","SAC7","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR420W","HKR1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR461W","MFA1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR466W","PKH3","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR466W","PKH3","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR480W","DIG2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR490C","PKH1","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDR490C","PKH1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER075C","PTP3","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER111C","SWI4","sce04113","Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER111C","SWI4","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER111C","SWI4","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER118C","SHO1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER125W","RSP5","sce04144","Endocytosis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER125W","RSP5","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER125W","RSP5","sce04120","Ubiquitin mediated proteolysis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER155C","BEM2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER177W","BMH1","sce04519","Cadherin signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YER177W","BMH1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YFL026W","STE2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGL089C","MF(ALPHA)2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR014W","MSB2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR023W","MTL1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04620","Toll-like receptor signaling pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04519","Cadherin signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR040W","KSS1","sce04148","Efferocytosis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR070W","ROM1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR108W","CLB1","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR108W","CLB1","sce04113","Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR108W","CLB1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR109C","CLB6","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR109C","CLB6","sce04111","Cell cycle - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YGR109C","CLB6","sce04113","Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHL007C","STE20","sce04517","IgSF CAM signaling - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHL007C","STE20","sce04392","Hippo signaling pathway - multiple species - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHL007C","STE20","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR005C","GPA1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR030C","SLT2","sce04139","Mitophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR030C","SLT2","sce04138","Autophagy - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR030C","SLT2","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR084W","STE12","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR135C","YCK1","sce04011","MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YHR135C","YCK1","sce04392","Hippo signaling pathway - multiple species - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
