"gene_id","gene_symbol","term_id","term_name","domain"
"Dmel_CG17768","CG17768","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG18616","Not10","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2021","CG2021","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2021","CG2021","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2091","Dcps","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2161","Rga","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG2830","Hsp60B","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG31137","twin","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG31184","LSm3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG31184","LSm3","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG31716","Cnot4","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG31938","Rrp40","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG34407","Not1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3909","CG3909","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG3931","Rrp4","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4043","Rrp46","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4152","Mtr4","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4279","LSm1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG4916","me31B","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5208","Patr-1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG5684","Pop2","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6169","DCP2","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6181","Ge-1","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6249","Csl4","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6311","Edc3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6413","Dis3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6610","CG6610","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG6610","CG6610","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7235","Hsp60C","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG7292","Rrp6","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8025","Mtr3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8232","PAN2","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8395","Rrp42","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8426","Not3","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8542","Hsc70-5","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8777","CG8777","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG8928","Rrp47","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9214","Tob","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9250","Mpp6","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9323","Rhau","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9344","CG9344","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9344","CG9344","dme03040","Spliceosome - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9573","Rcd-1r","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG9606","Rrp45","dme03018","RNA degradation - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10122","Polr1A","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10582","Polr3E","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10685","Polr1D","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11246","Polr2H","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11246","Polr2H","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1163","Polr2F","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG1163","Polr2F","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11979","Polr2E","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG11979","Polr2E","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG12267","Polr3C","dme03020","RNA polymerase - Drosophila melanogaster (fruit fly)","kegg_pathway"
